"","salary","age","family_members","target","city_Екатеринбург","city_Киев","city_Краснодар","city_Минск","city_Москва","city_Новосибирск","city_Омск","city_Петербург","city_Томск","city_Хабаровск","city_Ярославль","vacation_preference_Архитектура","vacation_preference_Ночные клубы","vacation_preference_Пляжный отдых","vacation_preference_Шоппинг","transport_preference_Автомобиль","transport_preference_Космический корабль","transport_preference_Морской транспорт","transport_preference_Поезд","transport_preference_Самолет"
"0","196000","25","1","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"1","152000","60","1","London","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"2","83000","49","2","Sydney","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"3","161000","41","0","New York","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"4","146000","58","1","Sydney","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"5","209000","55","2","Tokio","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"6","59000","53","1","London","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"7","73000","55","2","New York","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"8","216000","75","1","Sydney","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"9","56000","60","2","New York","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"10","12000","63","1","New York","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"11","82000","60","0","London","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"12","43000","59","2","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"13","63000","67","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"14","46000","56","2","Paris","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"15","69000","45","3","Tokio","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"16","176000","70","2","Tokio","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"17","88000","36","0","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"18","158000","56","1","London","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"19","97000","49","2","Paris","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"20","87000","59","2","Paris","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
"21","63000","55","2","Sydney","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"22","160000","82","0","Sydney","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1"
"23","103000","50","2","Tokio","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"24","160000","36","1","New York","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
